place ;country;name;max_annual_water_yield;annual_power_consumption;max_annual_operating_hours
Ghardaia Algeria;Algeria;ghardaia;61617;25;449
Bechar Algeria;Algeria;bechar;63088;26;413
Algier Algeria;Algeria;algier;859798;302;5070
Darel Beida;Algeria;darel;784788;254;4666
Mocamedes Angola;Angola;mocamedes;876292;312;5140
Coolidge Airport;Antigua;coolidge;2557917;780;8760
Buenos Aires Ezeiza ;Argentina;Ezeiza;596888;209;3796
Canberra Australia ;Australia;canberra;163665;61;1217
Sydney Australia ;Australia;sydney;824073;294;5195
Brisbane Australia ;Australia;brisbane;1059217;373;6040
Albany Australia ;Australia;albany;427056;160;3417
Coffs Harbour Australia;Australia;coffs;988033;337;5847
Walgett Airport Australia;Australia;walgett;329621;123;1991
Wagga Wagga Australia;Australia;wagga;367879;137;2387
Longreach Australia;Australia;longreach;569071;217;2928
Woomera Australia;Australia;woomera;235438;88;1408
Cairns Airport Australia;Australia;cairns;2047183;700;8677
Rockhampton Airport Australia;Australia;rockhampton;1310783;466;6694
Perth Airport;Australia;perth;235871;84;1821
Tennant Creek;Australia;tennant;328604;125;1563
Freistadt Austria;Austria;freistadt;273063;98;2042
Husbands Barbados;Barbados;husbands;2499729;802;8760
Maun;Botswana;maun;572079;213;3202
Americana Sao Paulo Brasil;Brazil;americana;1268517;423;7362
Conceicao Araguaia Brasil;Brazil;conceicao;2582375;772;8760
Patos de Minas Brasil;Brazil;patos;1254583;425;6987
Bambui Brasil;Brazil;bambui;1608267;529;8265
Lavras Brasil;Brazil;lavras;1260383;425;7566
Divinopolis Brasil;Brazil;divinopolis;1478042;496;8040
Franca Brazil;Brazil;franca;783463;278;5417
Ouagadougou Burkina Faso;Burkina Faso;ouagadougou;1078096;394;4431
Kampot Kambodscha;Cambodia;kampot;2615833;825;8760
Vallenar Chile;Chile;vallenar;328067;127;2812
Valparaiso Chile;Chile;valparaiso;488144;179;3782
Antofagasta Chile;Chile;antofagasta;732444;273;5887
Iquique Chile;Chile;iquique;960875;357;7264
Hong Kong Int Airport;China;hongkong;1826983;595;7552
Shanghai ;China;shanghai;1098271;341;4807
Simon Bolivar Airport;Columbia;simon;2537304;852;8760
Maracaibo ;Columbia;maracaibo;2371200;824;8760
Camaguey;Cuba;camaguey;1890008;643;8663
Djibouti Djibouti;Djibouti;djibouti;2193233;769;8172
Kinshasa Kongo;DRC;kinshasa;2226500;771;8760
Bukavu;DRC;bukavu;1461200;478;8162
Lubumbashi;DRC;lubumbashi;1084754;367;5776
Guayaquil Ecuador;Ecuador;guayaquil;1804033;645;8689
Sharm el Sheikh Egypt;Egypt;sharm;342438;154;2261
Cairo;Egypt;cairo;732090;265;4151
Bahtim;Egypt;bahtim;632633;246;3773
Asmara Eritrea;Eritrea;asmara;198521;79;1594
Massawa Eritrea;Eritrea;massawa;2271013;807;8580
Mekele Ethiopia;Ethiopia;mekele;216077;80;1809
Harar Ethiopia;Ethiopia;harar;680383;246;5100
Addis Ababa Ethiopia;Ethiopia;addisababa;470288;169;3627
Libreville Gabun;Gabon;libreville;2667542;769;8760
Potsdam Germany;Germany;potsdam;198238;70;1464
Mykonos Griechenland;Greece;mykonos;867431;311;5335
Athens Greece;Greece;athens;433004;177;3112
Limnos Greece;Greece;limnos;663983;246;4229
Karpathos Greece;Greece;karpathos;710033;275;4751
Conakry Guinea;Guinea ;conakry;2399621;787;8759
Labe Guinea;Guinea ;labe;1029829;339;5463
Chennai India;India;chennai;2572367;819;8722
Hyderabad India;India;hyderbad;2237888;747;8637
New Dehli India;India;newdehli;930344;341;3504
Santacruz Bombay;India;santacruz;1931258;678;8092
Nagpur Sonegaon;India;nagpur;1307567;469;5698
Jakarta Indonesien;Indonesia;jakarta;2685792;800;8760
Chahbahar Iran;Iran;chahbahar;1933108;689;7906
Bandar Abbas Iran;Iran;bandarabbas;1715292;631;7504
Bushehr Iran;Iran;bushehr;1489988;559;6879
Yazd Iran;Iran;yazd;833;0;7
Tabriz Iran;Iran;tabriz;27388;12;240
Mashhad Iran;Iran;mashhad;60438;25;474
Birjand Iran;Iran;birjand;3008;1;29
Kermanshah Iran;Iran;kermanshah;7894;3;74
Olbia Italy;Italy;olbia;668596;242;4155
Brescia Italy;Italy;brescia;497450;178;3139
Trevico Italy;Italy;trevico;272729;103;1990
Nagasaki Japan;Japan;nagasaki;983579;335;4555
Zarqa Jordan;Jordan;zarqa;373025;152;2686
Queen Alia Int Airport;Jordan;queenalia;138400;55;1143
Kisumu Kenia;Kenya;kisumu;1713981;565;8729
Mombasa Airport;Kenya;mombasa;2452942;793;8760
Kuwait Intertnational Airport;Kuwait;kuwaitairport;427442;186;2754
Kuala Lumpur Malaysia;Malaysia;kuala;2697958;792;8760
Male Maldives;Maldives;male;2795292;813;8760
Gao;Mali;gao;688633;83;3657
Luga Qrendi Malta;Malta;luga;1058021;369;6036
Plaisance ;Mauritius ;plaisance;1942658;2310;8476
Pachuca Hidalgo Mexico;Mexico;pachuca;274271;103;2439
Cancun Mexico;Mexico;cancun;2450700;771;8756
Juarez Mexico City ;Mexico;juarez;147377;54;1285
Quarzazate Marokko;Morocco;quarzazate;34129;13;221
Tan Tan Marokko;Morocco;tantan;854738;320;5819
Agadir Marokko;Morocco;agadir;1094842;364;6361
Marrakech Marokko;morocco;marrakech;395029;157;2751
Casablanca Marokko;Morocco;casablanca;1112754;364;6683
Rabat Marokko;Morocco;rabat;1110029;365;6508
Fes Marokko;Morocco;fes;685827;251;4327
Oujda Marokko;Morocco;oujda;583708;218;3887
Nampula Mozambik;Mozambique;nampula;2107875;708;8760
Mocuba Mozambik;Mozambique;mocuba;1854188;654;8566
Lichinga Mozambik;Mozambique;lichinga;1045829;358;6616
Maputo;Mozambique;maputo;1551521;543;8069
Keetmanshoop Namibia;Namibia;keetmanshoop;96400;42;697
JG Strijdom Namibia;Namibia;jgstrijdom;345417;132;2342
Grootfontein Namibia;Namibia;grootfontein;441508;166;2812
Lagos Nigeria ;Nigeria ;Lagos;2731417;786;8760
Maiduguri Nigeria;Nigeria ;maiduguri;1109038;403;4288
Kano Nigeria;Nigeria ;kano;1153663;412;4538
Sokoto Nigeria;Nigeria ;sokoto;1246833;461;4796
Abuja;Nigeria ;abuja;2298850;754;8760
Benin City ;Nigeria ;benin;2714904;806;8760
Sur Oman;Oman;sur;2400885;775;8531
Masira Oman;Oman;masira;2202258;763;8742
Saiq Oman;Oman;saiq;938400;336;6121
Thumrait Oman;Oman;thumrait;25233;10;192
Seeb Intl Muscat Oman;Oman;seeb;2294513;745;8412
Sohar Majis Oman;Oman;sohar;1769229;666;8419
Lima Peru;Peru;lima;1554900;506;8753
Piura;Peru;piura;1692167;553;8758
Manila Naia;Philippines;manila;2476317;818;8758
San Juan;Puerto Rico;sanjuan;2259254;772;8760
Doha Quatar;Qatar;doha;1361913;526;6724
Jalta Krim;Republic of Crimea ;jalta;787646;261;4415
Simferopol Krim;Republic of Crimea ;simferopol;646638;239;3943
Mahackala Dagestan;Russia;mahackala;498929;210;3521
Jeddah Saudi Arabia;Saudi Arabia;jeddah;2051963;753;8546
Wejh Saudi Arabia;Saudi Arabia;wejh;839933;344;4929
Tabuk Saudi Arabia;Saudi Arabia;tabuk;70000;32;593
Madinah Saudi Arabia;Saudi Arabia;madinah;21879;10;155
Abha Saudi Arabia;Saudi Arabia;abha;707717;269;5429
Riyadh Saudi Arabia;Saudi Arabia;riyadh;36254;15;252
Al Ahsa Saudi Arabia;Saudi Arabia;ahsa;1018933;398;5498
Hafr al Batin Saudi Arabia;Saudi Arabia;batin;535100;225;3132
Jazan Saudi Arabia;Saudi Arabia;Jazan;1044100;445;6113
Dammam Saudi Arabia;Saudi Arabia;dammam;1141258;453;6075
Wadi al Dawaser Saudi Arabia;Saudi Arabia;wadi;238421;101;1912
Kedougou Senegal;Senegal;kedougou;1350475;476;5158
Diourbel Senegal;Senegal;diourbel;2001517;717;8191
Linguere Senegal;Senegal;linguere;1280850;474;5113
Dakar Senegal;Senegal;dakar;1913729;630;8485
Freetown Sierra Leone;Sierra Leone;freetown;2586833;796;8754
Bo Sierra Leone;Sierra Leone;bo;2482000;762;8760
Capetown South Africa;South Africa;capetown;686063;247;5094
Bloemfontein Free State South Africa;South Africa;bloemfontein;322483;120;2323
Alexander Bay South Africa;South Africa;alexanderbay;283525;111;2384
Busan South Korea;South Korea;busan;748804;253;3796
Palma Mallorca;Spain;palma;810613;281;4645
Pamplona Spain;Spain;pamplona;436079;157;2884
Barcelona Spain;Spain;barcelona;494904;183;3174
Arrecife City on Lanzarote;Spain;arrecife;961479;359;6492
Fuerteventura airport;Spain;fuerteventura;1006542;375;7025
Valencia Airport;Spain;valencia;571663;196;3582
Kassala Sudan;Sudan;kassala;1057567;423;5235
Sion Schweiz;Switzerland;sion;178858;69;1480
Luzern Switzerland;Switzerland;luzern;235663;84;1762
Daressalam Tanzania;Tanzania;daressalam;2442458;780;8760
Morogoro Tanzania;Tanzania;morogoro;1883563;648;8612
Dodoma Tanzania;Tanzania;dodoma;1121154;406;7256
Bangkok Thailand;Thailand;bangkok;2524142;818;8758
Tunis;Tunisia;tunis;779602;280;4736
Istanbul Turkey;Turkey;istanbul;547333;201;3504
Sharjah Dubai;UAE;sharjah;1511025;565;7103
Abu Dhabi TC;UAE;abudhabi;1402583;540;6877
Dubai Int Airport;UAE;dubai;1389352;511;7031
Abu Dhabi Bateen;UAE;bateen;1115138;474;7175
Mbarara Uganda;Uganda;mbarara;1257450;434;7896
Waco Texas USA;USA;waco;1012263;373;4983
Madison Wisconsin USA;USA;madison;396546;138;2396
Portland Oregon USA;USA;portland;222600;85;1717
Honululu USA;USA;honululu;1713113;610;8665
Los Angeles USA;USA;losangeles;588604;224;4157
San Francisco USA;USA;sanfrancisco;178346;69;1597
San Antonio Texas;USA;sanantonio;1100775;401;5260
San Jose USA;USA;sanjose;178679;70;1536
Brownsville Texas USA;USA;brownsville;1719842;612;7569
Mount Darwin;Zimbabwe;mountdarwin;1012275;341;5888
Basra;Iraq;basra;431508;256;5266
Moanda;Gabon;moanda;2281167;720;8760
Tchiban;Gabon;tchiban;2448092;785;8760